,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
6219,Paracho de Verduzco,Paracho de Verduzco,19.65,-102.0667,Mexico,MX,MEX,Michoacán de Ocampo,,37464.0,1484536308
6225,Playa Vicente,Playa Vicente,17.8333,-95.8167,Mexico,MX,MEX,Veracruz,minor,39205.0,1484068720
6228,Uman,Uman,20.8833,-89.75,Mexico,MX,MEX,Yucatán,,39611.0,1484009408
6232,San Diego de la Unión,San Diego de la Union,21.4656,-100.8736,Mexico,MX,MEX,Guanajuato,minor,39663.0,1484000829
6255,Perote,Perote,19.562,-97.242,Mexico,MX,MEX,Veracruz,minor,37516.0,1484668149
6260,Juan Rodríguez Clara,Juan Rodriguez Clara,18.0,-95.4,Mexico,MX,MEX,Veracruz,minor,38895.0,1484000401
6276,La Barca,La Barca,20.2903,-102.5456,Mexico,MX,MEX,Jalisco,minor,35345.0,1484900173
6292,Tonalá,Tonala,16.0894,-93.7514,Mexico,MX,MEX,Chiapas,minor,35322.0,1484944309
6312,Xico,Xico,19.417,-97.0,Mexico,MX,MEX,Veracruz,minor,38198.0,1484011085
6316,Nueva Rosita,Nueva Rosita,27.939,-101.218,Mexico,MX,MEX,Coahuila de Zaragoza,,36642.0,1484540557
6325,Salvatierra,Salvatierra,20.2156,-100.8961,Mexico,MX,MEX,Guanajuato,minor,34066.0,1484878589
6328,Zacatelco,Zacatelco,19.2167,-98.2333,Mexico,MX,MEX,Tlaxcala,minor,38466.0,1484460521
6355,Sayula de Alemán,Sayula de Aleman,17.8833,-94.95,Mexico,MX,MEX,Veracruz,minor,32721.0,1484073387
6369,Mariano Escobedo,Mariano Escobedo,18.9167,-97.1333,Mexico,MX,MEX,Veracruz,minor,37285.0,1484215926
6420,Pánuco,Panuco,22.05,-98.1833,Mexico,MX,MEX,Veracruz,minor,33122.0,1484059135
6421,Nueva Italia de Ruiz,Nueva Italia de Ruiz,19.0194,-102.1089,Mexico,MX,MEX,Michoacán de Ocampo,,32467.0,1484876293
6435,Miahuatlán de Porfirio Díaz,Miahuatlan de Porfirio Diaz,16.3283,-96.5961,Mexico,MX,MEX,Oaxaca,minor,35517.0,1484776246
6446,Zinacantán,Zinacantan,16.7597,-92.7222,Mexico,MX,MEX,Chiapas,minor,36489.0,1484308293
